Zeit [s],Ankerstrom [A],Drehzahl [1/min]
0,0,0
0.005,0.000847491904927996,-1.97915266006236
0.01,0.0412152477961197,-3.93509045833904
0.015,0.198817123299645,-5.63239827064192
0.02,0.397784757192642,-6.70818680961463
0.025,0.595005881901079,-6.90401714002812
0.03,0.753113710529264,-6.13944893383644
0.035,0.842308832403185,-4.55023903766648
0.04,0.846805897406487,-2.46690457543326
0.045,0.769448900836615,-0.333761012645336
0.05,0.631630659819999,1.40956421459851
0.055,0.467883801255508,2.44712240453627
0.06,0.316528437175757,2.66755383485656
0.065,0.209245485409034,2.18105854948635
0.07,0.162889228660224,1.26875696596934
0.075,0.176093162483858,0.283904099134767
0.08,0.23155287758862,-0.460172259968787
0.085,0.302928311618918,-0.778222837350095
0.09,0.363819260114277,-0.651012744175671
0.095,0.39575312343685,-0.205961498521233
0.1,0.392708394414501,0.346607753779487
0.105,0.361090516156019,0.795158647885522
0.11,0.315713640766528,0.997170887484331
0.115,0.273619801747015,0.916043735349431
0.12,0.248073012163686,0.616966402261195
0.125,0.24470831760282,0.229055099915493
0.13,0.260822162364551,-0.108446051047325
0.135,0.287586671092911,-0.295188216402775
0.14,0.314003676588937,-0.297906855023062
0.145,0.330989823445651,-0.151260280657975
0.15,0.334175163457902,0.0647935389569254
0.155,0.324651070043779,0.259678442354927
0.16,0.307725037582456,0.365104277215645
0.165,0.290419258331371,0.355096924937555
0.17,0.278771385990822,0.248231560147037
0.175,0.275901354845621,0.0940825163790152
0.18,0.281393468758427,-0.0489324292015029
0.185,0.292001449809,-0.135268880065994
0.19,0.303223804647656,-0.146059978134497
0.195,0.311065506284375,-0.0914600383762088
0.2,0.313344654658232,-0.00252492002202884
0.205,0.310161907987038,0.0828903802405658
0.21,0.303501935320007,0.134362240574917
0.215,0.296242985403491,0.138284036024389
0.22,0.291012993117822,0.0999082955564376
0.225,0.289314661273622,0.0385000532961523
0.23,0.291181375296213,-0.0216168238830211
0.235,0.295399439766258,-0.0603494530699623
0.24,0.300129260679528,-0.0681726884491159
0.245,0.303645709872642,-0.0477749671392289
0.25,0.304920826797723,-0.0111860050285976
0.255,0.303870932817619,0.025894052681325
0.26,0.301235441277581,0.0501427074335085
0.265,0.298188181217319,0.0548727797990382
0.27,0.295859226051263,0.0413008285466413
0.275,0.294948091221683,0.0168599652460478
0.28,0.29554854884959,-0.00838458876080213
0.285,0.297212426162818,-0.025666057321605
0.29,0.299192112546405,-0.0303678763194635
0.295,0.300748810832957,-0.0229745620574858
0.3,0.301408635636911,-0.00809296199509822
0.305,0.30108560541602,0.0078077199210845
0.31,0.300049854119453,0.0189454051427779
0.315,0.298776785579121,0.0221294045428382
0.32,0.297748702531288,0.0174584550951484
0.325,0.297285617759501,0.00776127349119872
0.33,0.297459570242432,-0.00282517176963801
0.335,0.298109014402514,-0.0105068441435805
0.34,0.29893233221796,-0.0131012378304038
0.345,0.299615275583916,-0.0105421563888051
0.35,0.2999425159431,-0.00456637269911835
0.355,0.299856951160902,0.00217832441139405
0.36,0.299454417269159,0.00720065309552907
0.365,0.298925934592047,0.00900887372712524
0.37,0.298475973406416,0.00747123241014996
0.375,0.298249046794059,0.00364502072471507
0.38,0.298288891126393,-0.000781552693951537
0.385,0.298539272731185,-0.00417848747484507
0.39,0.298879510908379,-0.00553305850903862
0.395,0.299176807188821,-0.00470467289754147
0.4,0.29933446485482,-0.00233513193355127
0.405,0.29931984595497,0.000499544950253715
0.41,0.299165547926055,0.00273321724287528
0.415,0.298947654380287,0.00367957082858413
0.42,0.298752291767211,0.00321077394825945
0.425,0.298644011094716,0.00171303040760888
0.43,0.298646724883987,-0.000129951019140777
0.435,0.298741844577163,-0.00162269522952764
0.44,0.298881528534742,-0.00230229102833528
0.445,0.299010016645355,-0.00206274477044065
0.45,0.299084327453098,-0.00113511955668878
0.455,0.299087205179963,4.665108684273e-05
0.46,0.299029038036654,0.00102929682210963
0.465,0.298939835465522,0.0015012603990763
0.47,0.298855643794841,0.00137870859751734
0.475,0.298805020904148,0.000798473674542606
0.48,0.298800274872174,3.52062445982473e-05
0.485,0.298835761805651,-0.000616314638167008
0.49,0.298892712011391,-0.000947144095510447
0.495,0.298947862700613,-0.000893340353755746
0.5,0.298982282054022,-0.000535168076244556
0.505,0.29898727847717,-4.61632382831784e-05
0.51,0.298965799501563,0.000382202105505764
0.515,0.298929550991748,0.000610110709949468
0.52,0.298893522308806,0.000589904876939468
0.525,0.298870238821964,0.00036801855652027
0.53,0.298865788522055,5.38058297224063e-05
0.535,0.298878725175096,-0.000228597583315249
0.54,0.298901772253654,-0.000385898858261369
0.545,0.298925287714596,-0.000383256228269925
0.55,0.298941001539414,-0.000247116803375582
0.555,0.298944679851249,-4.62395213330142e-05
0.56,0.29893695794802,0.000139008199134512
0.565,0.298922343484772,0.000246510806303367
0.57,0.298907028651351,0.000251148118935057
0.575,0.298896463591969,0.00016765908019993
0.58,0.298893574892638,3.91563499619686e-05
0.585,0.298898147372821,-8.2419897587268e-05
0.59,0.298907399411306,-0.0001558123447215
0.595,0.298917361206213,-0.000163126287527252
0.6,0.298924447701365,-0.000112346905473117
0.605,0.29892664692298,-3.04349737683358e-05
0.61,0.298923970766832,4.90920818700884e-05
0.615,0.298918128562399,9.88868695200887e-05
0.62,0.298911660965772,0.000106321453768889
0.625,0.298906922010683,7.55447547112461e-05
0.63,0.298905288312346,2.33646264502382e-05
0.635,0.298906834889402,-2.86266567309536e-05
0.64,0.298910516291746,-6.23405603174829e-05
0.645,0.298914709432684,-6.89393207358634e-05
0.65,0.298917871316831,-5.04433403029648e-05
0.655,0.298919064110679,-1.72978983613127e-05
0.66,0.298918185663406,1.66092137714523e-05
0.665,0.298915872033967,3.93365582064411e-05
0.67,0.29891315823123,4.47413486260704e-05
0.675,0.298911053922603,3.36971228706819e-05
0.68,0.298910195542327,1.26719135721959e-05
0.685,0.298910683893579,-9.41716299923145e-06
0.69,0.298912134310319,-2.4702067954782e-05
0.695,0.298913888045251,-2.89392645858826e-05
0.7,0.298915285528249,-2.24116643155048e-05
0.705,0.298915896396186,-9.1092086905366e-06
